snapshot_id,altitude,heading,latitude,longitude,radar_id,speed,squawk
1549896077,32000,313,56.95692,-141.10272,5798,450,3201
1549896198,32000,313,57.12685,-141.40710,5798,440,3201
1549896239,32000,313,57.19292,-141.53192,5798,440,3201
1549896313,32000,313,57.32899,-141.79651,5798,440,0000
1549896377,32000,313,57.44067,-142.01829,5798,440,0000
1549896516,32000,316,57.64296,-142.41347,5798,440,0000
1549896562,32000,314,57.71804,-142.56384,5798,440,0000
1549896624,32000,314,57.80965,-142.74684,5798,440,0000
1549896710,32000,311,57.90855,-142.95377,5798,440,0000
1549896738,32000,314,57.95677,-143.05571,5798,440,0000
1549896797,32000,314,58.04451,-143.23567,5798,440,0000
1549896858,32000,311,58.13196,-143.42123,5798,440,0000
1549896915,32000,308,58.20917,-143.59839,5798,440,0000
1549896975,32000,311,58.28996,-143.78330,5798,440,0000
1549897034,32000,314,58.36820,-143.95351,5798,440,0000
1549897099,32000,312,58.45277,-144.13846,5798,440,0000
1549897173,32000,314,58.54384,-144.32980,5798,440,0000
1549897245,32000,312,58.62716,-144.50755,5798,440,0000
1549897285,32000,308,58.67951,-144.62930,5798,440,0000
1549897360,32000,312,58.77082,-144.83531,5798,430,0000
1549897434,32000,315,58.85654,-145.01953,5798,430,0000
1549897471,32000,306,58.90763,-145.14500,5798,430,0000
1549897519,32000,315,58.98192,-145.31074,5798,430,0000
1549897591,32000,308,59.07015,-145.51605,5798,420,0000
1549897638,32000,306,59.13305,-145.67700,5798,420,0000
1549897739,32000,309,59.28716,-146.02818,6648,405,3201
1549897799,32000,309,59.35849,-146.19809,6648,402,3201
1549897859,32000,313,59.43077,-146.36545,6648,398,3201
1549897925,32000,315,59.51692,-146.53244,6648,396,3201
1549897991,32000,315,59.60202,-146.69650,6648,395,3201
1549898051,32000,315,59.68067,-146.84923,6648,395,3201
1549898117,32000,315,59.76590,-147.01630,6648,396,3201
1549898178,32000,315,59.84518,-147.17285,6648,399,3201
1549898242,32000,315,59.92940,-147.34010,6648,399,3201
1549898304,32000,314,60.00883,-147.49922,6648,400,3201
1549898365,32000,314,60.08818,-147.65920,6648,403,3201
1549898430,32000,314,60.17381,-147.83327,6648,407,3201
1549898490,32000,314,60.25406,-147.99768,6648,407,3201
1549898557,32000,314,60.34039,-148.17583,6648,405,3201
1549898623,32000,314,60.42550,-148.35290,6648,403,3201
1549898682,32000,313,60.50376,-148.51682,6648,402,3201
1549898748,32000,313,60.58802,-148.69485,6648,403,3201
1549898809,32000,313,60.66576,-148.86043,6648,402,3201
1549898875,32000,313,60.74954,-149.04024,6648,401,3201
1549898935,32000,313,60.82627,-149.20601,6648,401,3201
1549898996,32000,313,60.90358,-149.37457,6648,401,3201
1549899061,32000,313,60.98648,-149.55650,6648,401,3201
1549899121,32000,312,61.06302,-149.72589,6648,403,3201
1549899187,32000,312,61.14652,-149.91237,6648,404,3201
1549899248,32025,302,61.21161,-150.10512,6648,408,3201
1549899314,33925,301,61.27587,-150.32054,6648,400,3201
1549899374,34000,301,61.33430,-150.51727,6648,397,3201
1549899440,34000,301,61.39787,-150.73370,3076,397,3201
1549899505,34000,301,61.45868,-150.94289,3076,398,3201
1549899567,34000,301,61.51634,-151.14284,3076,395,3201
1549899626,34000,300,61.57315,-151.34155,3076,395,3201
1549899692,34000,300,61.63284,-151.55232,3076,398,3201
1549899754,34000,300,61.69112,-151.75995,3076,398,3201
1549899818,34000,300,61.75159,-151.97751,3076,399,3201
1549899879,34000,300,61.80796,-152.18221,3076,400,3201
1549899942,34000,300,61.86424,-152.38841,3076,400,3201
1549900003,34000,299,61.92030,-152.59552,3076,400,3201
1549900061,34000,299,61.97562,-152.80206,3076,401,3201
1549900122,34000,299,62.03133,-153.01199,3076,398,3201
1549900184,34000,301,62.08742,-153.21828,3076,400,3201
1549900249,34000,300,62.14780,-153.43295,3076,401,3201
1549900310,34000,300,62.20468,-153.63953,3076,400,3201
1549900369,34000,300,62.26208,-153.85010,3076,401,3201
1549900433,34000,300,62.32082,-154.06688,3076,400,3201
1549900496,34000,299,62.37702,-154.27635,3076,400,3201
1549900555,34000,299,62.43288,-154.48668,3076,399,3201
1549900616,34000,299,62.48781,-154.69542,3076,396,3201
1549900679,34000,299,62.54256,-154.90521,3076,396,3201
1549900737,34000,299,62.59589,-155.11169,3076,397,3201
1549900800,34000,299,62.65186,-155.33052,3076,397,3201
1549900860,34000,298,62.70561,-155.54260,3076,400,3201
1549900902,34000,298,62.74315,-155.69194,3076,400,3201
1549900977,34000,297,62.75021,-155.74739,5798,390,3201
1549901064,34000,302,62.80536,-155.95450,5798,390,3201
1549901181,34000,297,62.98709,-156.68803,2602,403,3201
1549901234,34000,297,63.03229,-156.87779,2602,403,3201
1549901329,34000,297,63.11366,-157.22376,2602,403,3201
1549901389,34000,297,63.16667,-157.45189,2602,406,3201
1549901450,34000,296,63.21729,-157.67215,2602,406,3201
1549901513,34000,296,63.27003,-157.90419,2602,407,3201
1549901533,34000,296,63.28521,-157.97131,2602,408,3201
1549901584,34000,296,63.32936,-158.16785,2602,407,3201
1549901685,34000,296,63.41391,-158.54993,2602,407,3201
1549901749,34000,295,63.46588,-158.78793,2602,410,3201
1549901810,34000,295,63.51659,-159.02287,2602,410,3201
1549901873,34000,295,63.56786,-159.26309,2602,410,3201
1549901935,34000,295,63.61708,-159.49632,2602,411,3201
1549901995,34000,295,63.66619,-159.73187,2602,412,3201
1549902057,34000,294,63.71572,-159.97214,2602,412,3201
1549902117,34000,294,63.76511,-160.21439,2602,414,3201
1549902181,34000,294,63.81583,-160.46599,2602,416,3201
1549902244,34000,294,63.86568,-160.71657,2602,415,3201
1549902307,34000,293,63.91470,-160.96608,2602,419,3201
